,EVENT-ID,DATE,TIME,LAT(deg),LAT-ERR(km),LON(deg),LON-ERR(km),DEPTH(km),RMS(s),AZ-GAP(deg),N_PHASES,MAG(ML)
323,dias2013vkmf,2013-11-01,13:46:43.091,53.44511,0.989,-6.84192,1.184,0.0,0.516,58.4,33,1.19
324,dias2013vkos,2013-11-01,15:03:14.310,53.49918,1.214,-6.81687,1.408,0.0,0.493,73.5,27,1.02
325,dias2013vpuu,2013-11-04,11:47:12.044,54.23025,0.696,-8.22924,1.43,0.0,0.404,75.8,55,0.99
327,dias2013vpxi,2013-11-04,13:04:55.769,53.89734,0.919,-9.21388,1.614,0.0,0.496,167.7,44,1.27
329,dias2013vpyr,2013-11-04,13:45:13.153,53.67223,1.003,-6.40671,1.569,0.0,0.457,105.2,34,1.16
331,dias2013vrxf,2013-11-05,15:17:31.562,52.51403,1.496,-8.83349,1.716,0.0,0.393,103.4,21,1.25
334,dias2013vtpf,2013-11-06,13:31:33.033,53.30481,1.22,-8.885,1.203,0.0,0.448,63.4,35,1.47
335,dias2013vtse,2013-11-06,15:01:30.451,53.44823,1.156,-6.17731,1.488,0.0,0.44,89.0,32,1.38
336,dias2013vtsn,2013-11-06,15:11:40.233,52.77333,1.2,-8.01418,1.117,0.0,0.385,66.4,30,1.33
338,dias2013vvjl,2013-11-07,12:53:11.240,52.77167,0.707,-6.93183,0.707,0.0,0.5,99.0,15,0.94
339,dias2013vvkf,2013-11-07,13:15:45.564,52.89634,1.55,-9.06125,1.769,0.0,0.569,122.7,16,1.28
340,dias2013wcqc,2013-11-11,12:11:14.368,52.47176,1.488,-7.97158,1.282,0.0,0.389,97.3,22,1.17
342,dias2013wcvh,2013-11-11,14:49:18.710,54.21888,0.962,-7.66206,1.852,0.0,0.355,95.9,27,1.14
343,dias2013welj,2013-11-12,12:04:15.682,52.90818,1.239,-6.18959,1.562,0.0,0.33,124.5,29,0.79
344,dias2013wemg,2013-11-12,12:30:54.331,52.47195,2.052,-6.55871,2.059,0.0,0.26,176.4,20,1.01
345,dias2013weob,2013-11-12,13:26:13.348,53.96486,1.117,-6.86934,1.923,0.0,0.518,97.7,23,1.01
346,dias2013werf,2013-11-12,15:01:20.444,53.42878,1.049,-7.13848,1.152,0.0,0.454,94.4,31,1.21
348,dias2013wgkv,2013-11-13,14:04:46.042,53.68672,1.168,-6.38188,1.744,0.0,0.283,63.8,22,1.3
349,dias2013wifx,2013-11-14,13:51:44.609,54.38112,1.324,-7.4033,1.773,0.0,0.54,83.3,22,1.29
350,dias2013wiif,2013-11-14,15:01:07.660,53.45793,2.472,-6.1985,3.596,0.0,0.471,174.8,20,0.81
351,dias2013wjzr,2013-11-15,12:59:19.895,53.85423,1.032,-8.81474,1.568,0.0,0.507,142.5,29,1.21
353,dias2013wpkw,2013-11-18,12:19:10.165,54.18093,0.981,-7.70254,1.789,0.0,0.522,91.2,31,1.12
354,dias2013wpqi,2013-11-18,15:04:22.450,52.71327,1.397,-8.84638,1.402,0.0,0.476,85.9,18,1.05
355,dias2013wpqp,2013-11-18,15:12:17.202,53.12843,1.408,-7.89711,0.992,0.0,0.371,62.7,29,1.3
356,dias2013wrig,2013-11-19,13:16:15.426,54.80481,2.67,-6.06264,1.114,0.0,0.59,147.6,22,1.02
357,dias2013wrko,2013-11-19,14:26:21.216,54.53154,1.19,-7.63155,1.635,0.0,0.455,100.8,31,0.83
358,dias2013wrkz,2013-11-19,14:38:30.673,52.33208,1.313,-9.74978,2.073,0.0,0.57,137.2,20,1.17
359,dias2013wtfm,2013-11-20,14:08:43.049,53.69257,1.716,-6.41515,1.922,0.0,0.554,104.3,14,1.08
360,dias2013wtfz,2013-11-20,14:24:05.072,51.80382,1.871,-8.45369,1.558,0.0,0.348,136.3,18,1.38
361,dias2013wtgf,2013-11-20,14:30:58.673,53.21676,1.663,-6.86673,1.02,0.0,0.554,90.0,22,1.17
362,dias2013wvbw,2013-11-21,14:35:22.902,52.19566,1.203,-8.83961,1.407,0.0,0.49,76.8,23,1.3
363,dias2013wvdc,2013-11-21,15:12:48.148,53.32265,1.023,-9.02714,0.954,0.0,0.666,77.6,47,1.62
368,dias2013xchx,2013-11-25,13:35:50.420,55.08401,2.772,-6.73484,1.116,0.0,0.577,163.8,38,0.91
369,dias2013xcjl,2013-11-25,14:21:27.488,54.32241,1.084,-6.56521,1.549,0.0,0.688,105.5,33,0.99
370,dias2013xcks,2013-11-25,15:00:53.432,53.50595,0.916,-8.96166,1.047,0.0,0.483,118.0,45,1.22
371,dias2013xeap,2013-11-26,12:10:01.252,53.18011,1.467,-8.23026,0.989,0.0,0.395,68.4,30,0.94
372,dias2013xeaw,2013-11-26,12:18:51.713,52.80646,2.061,-6.97373,1.649,0.0,0.592,105.2,12,0.62
373,dias2013xefi,2013-11-26,14:33:18.347,53.87024,1.348,-9.28732,2.324,0.0,0.562,171.6,23,1.16
374,dias2013xegg,2013-11-26,15:01:47.125,53.43656,0.909,-7.15431,0.935,0.0,0.441,87.1,47,1.19
381,dias2013xhzi,2013-11-28,16:04:13.354,52.64301,1.46,-8.75473,1.488,0.0,0.531,116.4,20,0.97
387,dias2013xrbz,2013-12-03,15:37:55.024,52.31065,1.242,-8.43267,1.258,0.0,0.454,67.1,28,1.24
398,dias2013ybxw,2013-12-09,14:03:30.917,54.283,0.953,-7.4521,1.734,0.0,0.513,83.3,32,1.34
402,dias2013ydre,2013-12-10,12:56:18.545,52.56012,1.278,-9.06374,1.2,0.0,0.555,97.1,35,1.57
405,dias2013yhgi,2013-12-12,12:00:31.205,54.82022,3.013,-5.90432,1.487,0.0,0.455,149.1,13,0.79
408,dias2013yjco,2013-12-13,12:22:11.057,53.16269,1.688,-7.04699,1.352,0.0,0.461,91.6,17,1.0
409,dias2013yjgv,2013-12-13,14:32:18.075,53.31353,1.081,-6.39907,1.014,0.0,0.549,52.3,37,1.54
410,dias2013yjjb,2013-12-13,15:39:29.665,52.77528,1.539,-6.92071,1.608,0.0,0.391,65.9,17,0.95
414,dias2013youv,2013-12-16,15:16:38.786,52.68685,2.426,-7.68438,1.572,0.0,0.448,169.6,13,1.04
416,dias2013yqld,2013-12-17,12:40:08.231,53.6925,1.355,-6.33942,1.651,0.0,0.501,97.7,24,0.84
418,dias2013yqpv,2013-12-17,15:01:52.707,53.4286,1.84,-7.13409,2.938,0.0,0.402,184.7,11,0.65
419,dias2013yugn,2013-12-19,14:52:38.045,54.55046,1.25,-7.52724,1.546,0.0,0.687,84.2,31,1.1
420,dias2013yvyj,2013-12-20,13:01:35.320,52.65767,1.131,-6.3155,1.131,0.0,0.42,163.0,18,1.08
558,dias2014glbt,2014-04-02,10:35:09.605,54.82285,3.132,-5.88577,1.495,0.0,0.447,153.2,13,1.29
563,dias2014gmxv,2014-04-03,10:53:08.609,53.22145,2.04,-6.42091,1.81,0.0,0.387,95.4,15,0.71
565,dias2014gnas,2014-04-03,12:20:07.582,51.9099,2.61,-10.07899,1.92,0.0,0.443,191.3,17,1.11
566,dias2014gnbf,2014-04-03,12:35:12.448,55.08764,8.745,-6.80229,1.579,0.0,0.531,164.9,11,0.62
568,dias2014gote,2014-04-04,10:48:24.192,51.97051,1.711,-10.19241,1.919,0.0,0.761,141.8,22,1.25
579,dias2014guku,2014-04-07,13:22:52.570,54.49372,1.33,-7.19244,1.976,0.0,0.36,127.8,22,0.98
581,dias2014gunk,2014-04-07,14:42:35.697,53.49813,1.049,-8.97246,1.147,0.0,0.638,69.9,31,1.39
584,dias2014gwgf,2014-04-08,13:21:05.190,52.70427,1.563,-7.69538,1.287,0.0,0.512,43.6,19,1.07
585,dias2014gwhx,2014-04-08,14:12:11.081,53.49431,1.397,-6.81824,1.804,0.0,0.376,74.0,19,0.85
586,dias2014gwin,2014-04-08,14:31:04.807,52.46093,1.482,-8.72878,1.834,0.0,0.534,123.0,17,1.14
587,dias2014gxxm,2014-04-09,11:11:57.449,52.56673,1.167,-9.04179,1.178,0.0,0.719,91.7,31,1.41
590,dias2014gyah,2014-04-09,12:37:51.873,53.4854,1.671,-6.88284,2.405,0.0,0.557,144.8,12,0.81
594,dias2014gzwc,2014-04-10,12:47:01.192,54.42282,1.827,-5.88822,1.265,0.0,0.266,92.6,22,0.99
597,dias2014gzyr,2014-04-10,14:05:23.766,52.50317,1.298,-8.82467,1.293,0.0,0.596,75.8,24,1.08
600,dias2014hbqe,2014-04-11,12:03:49.504,54.37262,1.32,-7.7168,1.9,0.0,0.461,100.8,17,0.91
606,dias2014hhfs,2014-04-14,13:35:29.980,54.50539,1.46,-5.86626,1.062,0.0,0.616,80.1,31,1.13
609,dias2014hivc,2014-04-15,10:30:20.713,53.76284,1.36,-7.32945,1.598,0.0,0.368,90.5,19,1.01
614,dias2014hkrq,2014-04-16,11:01:03.857,54.18845,1.257,-9.22065,1.96,0.0,0.537,116.8,23,1.2
620,dias2014hmoa,2014-04-17,11:28:15.767,53.18732,2.421,-6.54373,1.899,0.0,0.657,147.9,11,0.51
621,dias2014hmoe,2014-04-17,11:32:10.451,52.19557,1.585,-8.81655,1.9,0.0,0.456,101.5,13,0.99
623,dias2014hmtf,2014-04-17,14:04:56.164,53.40409,1.15,-6.29324,1.376,0.0,0.584,65.2,28,1.21
629,dias2014hvwu,2014-04-22,14:07:46.773,52.35575,1.733,-9.74314,2.24,0.0,0.393,155.0,14,0.9
631,dias2014hxkf,2014-04-23,10:02:15.637,52.21348,1.759,-8.72528,1.579,0.0,0.626,100.4,15,1.06
632,dias2014hxnj,2014-04-23,11:38:08.440,54.40575,1.571,-6.0617,1.518,0.0,0.33,72.5,17,0.74
635,dias2014hxpb,2014-04-23,12:29:18.578,55.17038,6.757,-6.30695,1.654,0.0,0.385,195.1,18,1.07
640,dias2014hzln,2014-04-24,12:58:44.892,54.81812,2.037,-6.61808,1.725,0.0,0.296,145.0,22,0.89
653,dias2014igre,2014-04-28,11:46:56.605,54.63351,2.162,-5.73839,1.403,0.0,0.404,101.1,21,0.79
658,dias2014iilk,2014-04-29,11:08:18.455,52.33604,2.074,-6.9367,1.733,0.0,0.35,170.7,16,1.04
662,dias2014iitq,2014-04-29,15:18:02.766,53.81225,0.762,-8.03233,1.256,0.0,0.278,56.5,47,1.17
678,dias2014ivei,2014-05-06,10:20:04.706,54.80697,3.094,-5.90979,1.518,0.0,0.406,161.4,14,1.02
679,dias2014ivim,2014-05-06,12:25:08.349,54.61431,2.625,-5.76424,1.695,0.0,0.426,127.6,9,0.98
681,dias2014ivkb,2014-05-06,13:13:03.184,54.38911,1.246,-7.40741,1.587,0.0,0.559,79.6,23,1.19
685,dias2014ixdp,2014-05-07,12:13:21.035,54.67039,4.579,-6.79218,2.146,0.0,0.326,202.7,9,0.56
687,dias2014ixhk,2014-05-07,14:08:57.614,53.7076,1.047,-6.56525,1.145,0.0,0.429,48.1,34,1.25
688,dias2014iyxo,2014-05-08,11:27:09.790,54.63488,2.675,-6.77543,2.934,0.0,0.171,170.8,7,0.65
689,dias2014iyzq,2014-05-08,12:30:09.045,53.51024,1.814,-10.05044,3.756,0.0,0.732,249.4,18,1.38
691,dias2014izbn,2014-05-08,13:27:27.551,54.36683,0.951,-7.7032,1.375,0.0,0.395,72.3,35,1.24
693,dias2014jatp,2014-05-09,11:42:55.445,52.56895,1.494,-9.04035,1.367,0.0,0.505,91.4,20,1.26
703,dias2014jiby,2014-05-13,11:53:38.408,54.80712,3.967,-5.85118,2.675,0.0,0.444,160.6,8,0.71
706,dias2014jigs,2014-05-13,14:17:57.969,54.43972,2.123,-5.80723,1.203,0.0,0.52,120.8,22,1.2
709,dias2014jjzb,2014-05-14,12:42:15.897,54.21285,1.043,-7.65787,1.473,0.0,0.316,53.2,27,1.04
722,dias2014jphv,2014-05-17,10:49:11.493,54.2296,1.162,-8.23561,1.874,0.0,0.307,86.6,22,1.08
724,dias2014jtcq,2014-05-19,12:44:35.344,54.59201,3.782,-7.05503,1.846,0.0,0.23,206.0,14,0.77
726,dias2014jtcv,2014-05-19,12:50:37.161,53.94407,1.197,-6.72199,1.849,0.0,0.361,110.0,22,0.93
738,dias2014jysr,2014-05-22,14:30:45.993,54.98595,5.07,-6.81589,1.437,0.0,0.451,143.2,10,0.66
740,dias2014kaji,2014-05-23,12:03:45.748,54.61431,2.305,-5.75581,1.502,0.0,0.449,102.9,13,0.91
741,dias2014kajl,2014-05-23,12:07:37.003,54.62548,2.115,-6.75909,1.689,0.0,0.419,107.5,12,0.92
745,dias2014khtg,2014-05-27,13:02:45.365,54.35557,1.903,-6.21636,1.396,0.0,0.267,121.1,20,0.86
749,dias2014kjre,2014-05-28,14:15:46.144,54.34736,2.511,-6.20157,1.454,0.0,0.326,145.7,17,0.75
757,dias2014knfs,2014-05-30,13:00:49.850,54.19683,0.976,-9.23727,1.544,0.0,0.461,117.8,41,1.5
759,dias2014kngt,2014-05-30,13:32:16.942,53.30853,1.203,-6.38521,1.029,0.0,0.482,61.3,33,1.23
760,dias2014ksph,2014-06-02,11:31:58.758,52.65448,1.087,-8.23984,1.052,0.0,0.346,50.2,36,1.39
761,dias2014ksrc,2014-06-02,12:26:52.106,54.82423,1.754,-6.04992,1.032,0.0,0.654,79.7,33,1.3
762,dias2014ksuf,2014-06-02,14:01:36.667,54.56535,1.47,-5.80346,1.271,0.0,0.522,81.1,29,1.02
763,dias2014ksvd,2014-06-02,14:28:29.477,54.30567,0.648,-7.83515,1.119,0.0,0.392,57.6,62,1.26
764,dias2014kuoi,2014-06-03,13:19:00.481,54.42882,1.873,-5.78787,1.454,0.0,0.514,93.8,14,0.94
772,dias2014kwms,2014-06-04,14:46:44.342,54.72009,2.203,-6.8399,1.789,0.0,0.581,137.9,18,0.83
773,dias2014kyax,2014-06-05,11:04:26.547,54.411,1.352,-6.05599,1.406,0.0,0.394,83.6,32,1.06
774,dias2014kybc,2014-06-05,11:10:49.141,54.17714,1.048,-7.69194,1.423,0.0,0.736,82.7,30,1.01
783,dias2014lfkw,2014-06-09,12:04:04.197,54.80085,1.859,-5.90134,1.122,0.0,0.479,93.5,25,1.09
784,dias2014lfkz,2014-06-09,12:07:31.099,54.96724,1.104,-7.86918,0.976,0.0,0.356,62.0,45,0.89
786,dias2014lfll,2014-06-09,12:21:46.503,54.98192,1.14,-7.70732,1.028,0.0,0.495,72.4,36,0.88
788,dias2014lfop,2014-06-09,13:56:32.268,54.3793,2.59,-6.64817,1.524,0.0,0.372,126.0,23,0.83
791,dias2014ljcw,2014-06-11,12:34:07.486,54.61617,2.099,-5.7379,1.326,0.0,0.446,102.7,17,0.78
793,dias2014ljds,2014-06-11,12:59:32.289,54.18,0.91,-7.62997,1.444,0.0,0.341,56.8,34,0.78
795,dias2014llbm,2014-06-12,14:08:31.139,54.51982,0.986,-7.64193,1.405,0.0,0.381,87.9,32,0.85
797,dias2014lmuw,2014-06-13,13:04:38.580,54.26247,0.992,-6.7384,1.149,0.0,0.383,72.9,46,1.0
801,dias2014lwfn,2014-06-18,16:40:05.734,52.43528,1.911,-8.74221,1.47,0.0,0.467,88.0,19,0.76
804,dias2014lxxt,2014-06-19,15:01:20.565,52.64675,1.29,-8.73244,1.66,0.0,0.46,100.4,19,0.96
806,dias2014meyk,2014-06-23,11:18:30.020,54.62343,2.217,-5.78186,1.518,0.0,0.41,101.9,15,0.9
807,dias2014mfak,2014-06-23,12:18:31.634,54.3055,0.867,-8.1406,1.27,0.0,0.565,64.9,38,1.2
811,dias2014mgrr,2014-06-24,10:10:01.161,53.10595,1.096,-8.78796,1.37,0.0,0.483,83.4,31,1.1
812,dias2014mgsn,2014-06-24,10:35:38.937,54.40411,1.637,-6.09383,1.331,0.0,0.255,89.8,34,1.26
813,dias2014mgtm,2014-06-24,11:04:55.346,54.37796,3.383,-6.64136,2.047,0.0,0.328,203.5,14,0.69
816,dias2014mgzg,2014-06-24,14:00:44.336,53.43082,0.932,-7.15408,1.179,0.0,0.448,91.6,39,1.0
821,dias2014mkqq,2014-06-26,14:12:02.919,54.28179,1.01,-7.43908,1.406,0.0,0.513,86.5,30,0.96
822,dias2014mksh,2014-06-26,15:01:34.179,52.64466,1.082,-8.71264,1.473,0.0,0.282,99.3,32,1.22
828,dias2014mrvp,2014-06-30,12:38:54.518,54.31758,1.296,-6.61161,1.282,0.0,0.445,79.7,28,0.82
832,dias2014mtlz,2014-07-01,10:03:49.072,54.82339,2.029,-6.07173,1.154,0.0,0.334,91.2,38,0.99
833,dias2014mtqu,2014-07-01,12:29:51.043,53.70186,1.359,-6.36135,1.769,0.0,0.532,113.9,17,0.99
837,dias2014mtxb,2014-07-01,15:40:14.571,52.33166,1.539,-9.76014,2.06,0.0,0.849,154.5,23,1.17
838,dias2014mvjc,2014-07-02,10:52:31.868,52.2159,1.455,-8.33032,1.611,0.0,0.414,78.7,17,1.06
839,dias2014mvmo,2014-07-02,12:37:17.260,54.79717,1.131,-6.5925,1.131,0.0,0.24,94.0,13,1.29
840,dias2014mvng,2014-07-02,12:58:35.200,54.21797,1.173,-7.65818,1.616,0.0,0.335,68.3,22,1.11
841,dias2014mvqo,2014-07-02,14:39:33.626,53.80885,1.371,-6.34845,1.925,0.0,0.54,113.6,20,1.19
844,dias2014mzal,2014-07-04,11:03:19.332,54.17524,0.929,-7.72738,1.622,0.0,0.446,96.8,36,1.07
845,dias2014mzcb,2014-07-04,11:52:02.022,54.59427,0.726,-7.51927,1.13,0.0,0.402,94.5,57,1.29
848,dias2014nerw,2014-07-07,13:32:30.424,54.73466,2.843,-7.46262,1.671,0.0,0.39,208.1,17,0.32
849,dias2014neuz,2014-07-07,15:06:21.059,53.95053,1.134,-6.73479,1.565,0.0,0.362,85.1,25,1.08
850,dias2014ngil,2014-07-08,11:02:20.242,52.90345,1.949,-6.18899,5.748,0.0,0.457,226.1,14,0.56
851,dias2014ngjt,2014-07-08,11:43:02.378,54.63213,1.468,-6.7932,1.84,0.0,0.463,148.2,21,0.98
861,dias2014nlty,2014-07-11,10:32:12.606,54.21736,1.096,-8.23008,1.659,0.0,0.536,77.6,29,0.84
862,dias2014nlum,2014-07-11,10:48:13.972,54.60998,2.716,-5.78449,1.55,0.0,0.442,103.2,13,0.75
864,dias2014nlyd,2014-07-11,12:38:58.831,54.36945,1.901,-6.20323,1.363,0.0,0.503,120.1,17,0.64
866,dias2014nrod,2014-07-14,14:24:44.910,54.98304,1.201,-7.70557,1.066,0.0,0.394,81.8,38,1.33
868,dias2014ntfc,2014-07-15,12:07:37.872,53.23127,1.213,-6.4042,1.043,0.0,0.707,78.9,35,1.26
869,dias2014ntgb,2014-07-15,12:36:38.808,53.70031,1.133,-6.37823,1.45,0.0,0.521,69.0,30,1.32
870,dias2014ntgx,2014-07-15,13:02:19.241,54.61453,1.465,-6.76731,1.203,0.0,0.424,85.6,28,0.95
871,dias2014nthl,2014-07-15,13:18:35.428,54.62431,1.337,-6.78257,1.306,0.0,0.445,82.7,30,1.13
872,dias2014ntiv,2014-07-15,14:00:52.701,53.43655,0.927,-7.15215,1.041,0.0,0.601,66.8,42,1.2
873,dias2014nvau,2014-07-16,12:12:48.331,53.49292,0.881,-6.81776,1.196,0.0,0.485,73.8,45,1.4
