,EVENT-ID,DATE,TIME,LAT(deg),LAT-ERR(km),LON(deg),LON-ERR(km),DEPTH(km),RMS(s),AZ-GAP(deg),N_PHASES,MAG(ML)
874,dias2014nvcb,2014-07-16,12:51:19.829,51.84955,1.462,-8.78243,1.702,0.0,0.378,85.8,15,1.02
879,dias2014nypa,2014-07-18,10:49:19.227,52.56826,1.188,-7.72045,1.443,0.0,0.626,62.2,24,0.99
888,dias2014ohxw,2014-07-23,13:30:15.516,53.86561,1.119,-9.28839,2.105,0.0,0.393,124.3,34,1.17
891,dias2014oias,2014-07-23,14:56:43.224,51.81647,1.834,-8.99669,1.885,0.0,0.65,131.8,14,0.85
894,dias2014ojnr,2014-07-24,10:38:03.549,52.66655,1.048,-9.32667,1.675,0.0,0.432,139.7,34,1.38
895,dias2014ojuq,2014-07-24,14:09:01.869,54.23718,0.739,-7.40215,1.137,0.0,0.363,52.1,58,1.31
897,dias2014ollz,2014-07-25,12:02:58.948,54.3212,0.984,-8.22442,1.508,0.0,0.412,78.8,43,1.07
901,dias2014orcu,2014-07-28,14:13:37.437,54.6221,2.148,-5.76382,1.399,0.0,0.506,102.1,16,1.06
908,dias2014oyio,2014-08-01,13:04:50.982,52.57249,0.97,-9.07567,1.47,0.0,0.421,119.1,39,1.58
909,dias2014oyji,2014-08-01,13:28:52.416,54.12234,0.838,-7.25065,1.1,0.0,0.358,49.2,48,0.98
922,dias2014phjb,2014-08-06,11:33:35.863,54.33891,2.047,-5.86677,1.647,0.0,0.255,126.4,14,0.65
923,dias2014phkb,2014-08-06,12:03:55.412,54.37923,1.738,-6.66106,1.727,0.0,0.262,124.2,19,0.87
924,dias2014phkq,2014-08-06,12:22:04.835,54.83046,1.215,-6.20406,0.952,0.0,0.379,74.3,47,1.46
928,dias2014pjjo,2014-08-07,14:05:33.942,54.42516,1.676,-7.45214,1.51,0.0,0.335,111.2,24,0.93
934,dias2014pqmo,2014-08-11,11:33:01.716,54.99023,2.846,-5.94581,2.431,0.0,0.52,177.4,11,0.98
936,dias2014pqmt,2014-08-11,11:39:07.137,55.0265,2.826,-6.29678,1.326,0.0,0.407,147.7,14,0.64
937,dias2014pqnz,2014-08-11,12:16:48.029,53.21789,0.986,-6.9231,0.963,0.0,0.489,65.6,39,1.42
940,dias2014pshs,2014-08-12,11:22:46.678,54.1806,1.399,-9.87249,1.693,0.0,0.505,142.3,37,1.45
941,dias2014psjp,2014-08-12,12:19:58.131,54.50122,1.992,-5.8022,1.387,0.0,0.286,105.7,15,0.8
942,dias2014psju,2014-08-12,12:26:07.385,54.48969,1.477,-5.78993,1.235,0.0,0.326,82.3,23,1.13
948,dias2014pufj,2014-08-13,12:27:55.667,54.19034,2.049,-6.19454,2.658,0.0,0.314,122.1,9,0.45
949,dias2014pufr,2014-08-13,12:37:18.434,54.18642,1.713,-6.19408,2.037,0.0,0.401,109.0,13,0.65
950,dias2014puhz,2014-08-13,13:47:25.628,53.68355,1.106,-6.36987,1.577,0.0,0.525,117.2,26,1.07
951,dias2014pvyp,2014-08-14,11:18:50.235,54.39819,1.044,-6.07478,1.191,0.0,0.349,84.1,42,1.35
958,dias2014pxvv,2014-08-15,12:12:04.375,52.65309,1.812,-6.30345,1.978,0.0,0.33,165.7,23,1.19
962,dias2014pxxo,2014-08-15,13:04:19.627,55.04591,1.98,-6.79131,1.009,0.0,0.356,152.7,35,1.38
965,dias2014qdjt,2014-08-18,12:54:24.029,54.99194,6.932,-6.82838,1.352,0.0,0.327,168.9,13,0.86
969,dias2014qfhl,2014-08-19,14:00:22.090,54.57651,1.802,-7.02715,1.642,0.0,0.486,97.5,20,0.96
974,dias2014qhgf,2014-08-20,15:39:59.979,54.11044,0.728,-8.1838,1.058,0.0,0.455,44.2,50,1.31
980,dias2014qizx,2014-08-21,14:44:43.810,55.01217,0.424,-8.29667,0.424,0.0,0.12,240.0,18,0.87
984,dias2014qkod,2014-08-22,11:03:55.914,54.26907,1.097,-6.59663,1.557,0.0,0.433,57.9,28,1.18
987,dias2014qkys,2014-08-22,16:25:07.752,52.87571,1.084,-8.69587,1.657,0.0,0.476,136.0,23,0.94
990,dias2014qruz,2014-08-26,10:29:31.519,54.5405,0.849,-8.066,0.849,0.0,0.32,170.0,16,0.65
993,dias2014qsae,2014-08-26,13:07:05.159,54.369,1.751,-6.2385,1.734,0.0,0.284,102.1,14,0.55
995,dias2014qsca,2014-08-26,14:02:39.067,53.42712,0.93,-7.15664,1.017,0.0,0.507,72.3,39,1.23
996,dias2014qtpl,2014-08-27,09:57:20.665,53.21658,1.326,-6.40482,1.282,0.0,0.577,90.2,21,1.25
997,dias2014qtrk,2014-08-27,10:56:45.392,51.85469,1.209,-8.79151,1.909,0.0,0.421,111.2,18,1.29
1001,dias2014qvmg,2014-08-28,10:36:32.370,54.85925,2.132,-5.89366,1.475,0.0,0.558,118.0,16,0.89
1005,dias2014qvsi,2014-08-28,13:40:56.170,54.60817,0.849,-5.76467,0.849,0.0,0.51,93.0,14,0.99
1006,dias2014qvsj,2014-08-28,13:42:26.535,54.61255,1.967,-5.76158,1.509,0.0,0.324,93.8,13,0.93
1007,dias2014qxkm,2014-08-29,11:59:40.266,53.85685,1.016,-8.82251,1.246,0.0,0.559,77.8,37,1.55
1009,dias2014qxnn,2014-08-29,13:31:35.283,54.62154,2.017,-6.76401,1.562,0.0,0.345,126.6,17,0.99
1013,dias2014rcxl,2014-09-01,12:13:40.866,52.65096,1.462,-6.32387,1.771,0.0,0.469,143.4,34,1.3
1021,dias2014rglk,2014-09-03,10:40:59.349,54.51023,1.663,-5.91296,1.665,0.0,0.386,83.0,15,0.69
1022,dias2014rgmd,2014-09-03,11:03:00.117,52.56779,1.266,-7.72102,1.324,0.0,0.521,93.0,28,1.02
1025,dias2014rgrd,2014-09-03,13:34:23.599,53.41612,1.418,-9.2633,1.477,0.0,0.563,139.3,33,1.33
1034,dias2014rkfa,2014-09-05,12:00:11.807,52.6135,0.97,-7.83215,1.057,0.0,0.45,55.0,40,1.28
1037,dias2014rkia,2014-09-05,13:31:50.280,53.276,1.485,-6.3745,1.485,0.0,0.68,42.0,25,1.47
1038,dias2014rlvo,2014-09-06,09:29:25.771,52.35165,1.588,-7.08338,1.399,0.0,0.345,147.3,22,1.14
1046,dias2014rrqj,2014-09-09,13:41:22.334,52.34875,1.184,-9.74944,1.923,0.0,0.591,155.0,29,1.28
1057,dias2014rvce,2014-09-11,11:03:25.348,54.1955,1.015,-9.26164,1.601,0.0,0.453,118.2,34,1.3
1058,dias2014rvee,2014-09-11,12:04:42.025,54.50015,1.326,-5.88928,1.376,0.0,0.486,80.2,22,0.96
1066,dias2014rxcg,2014-09-12,13:22:42.043,53.80939,1.096,-9.31628,1.995,0.0,0.423,130.9,31,1.15
1072,dias2014scnm,2014-09-15,12:44:03.575,54.83307,2.21,-6.61966,1.264,0.0,0.441,104.8,22,0.9
1076,dias2014seln,2014-09-16,14:00:46.599,53.42665,0.77,-7.15229,0.963,0.0,0.52,66.0,53,1.13
1079,dias2014sgea,2014-09-17,12:29:13.755,53.49219,0.977,-6.82219,1.123,0.0,0.512,69.0,39,1.17
1081,dias2014sgnf,2014-09-17,17:08:00.231,52.87166,1.202,-8.69244,1.352,0.0,0.43,62.9,25,1.2
1087,dias2014shyd,2014-09-18,11:47:13.562,54.9744,2.108,-5.99403,1.342,0.0,0.547,129.5,26,1.08
1091,dias2014sien,2014-09-18,15:01:19.400,52.64725,0.949,-8.71426,1.14,0.0,0.411,58.7,38,1.46
1092,dias2014sjtb,2014-09-19,11:30:10.906,54.42126,1.697,-5.94012,1.484,0.0,0.423,109.9,16,0.8
1096,dias2014sjxg,2014-09-19,13:37:28.010,51.97509,1.767,-10.18196,1.883,0.0,0.552,151.3,21,1.32
1100,dias2014spor,2014-09-22,16:06:20.061,52.84982,1.006,-7.69693,0.989,0.0,0.444,37.1,38,1.25
1106,dias2014sreb,2014-09-23,13:00:30.779,51.85306,1.121,-8.7796,1.332,0.0,0.408,85.5,29,1.42
1109,dias2014ssxy,2014-09-24,12:10:52.995,54.31413,1.671,-6.61674,2.04,0.0,0.227,93.1,21,0.85
1110,dias2014ssyb,2014-09-24,12:15:20.428,55.08656,2.837,-6.73891,1.317,0.0,0.501,166.1,26,0.88
1122,dias2014tbzy,2014-09-29,11:25:26.200,54.57515,1.785,-5.78304,1.774,0.0,0.528,133.7,15,1.0
1128,dias2014tdwj,2014-09-30,11:52:48.550,52.73452,0.962,-8.63685,1.248,0.0,0.477,95.6,38,1.43
1131,dias2014teas,2014-09-30,14:05:37.505,52.29278,1.602,-7.14633,1.453,0.0,0.474,165.5,28,1.37
1135,dias2014tfpw,2014-10-01,10:52:36.079,54.52324,1.843,-5.90135,1.976,0.0,0.457,120.2,11,0.85
1138,dias2014tfup,2014-10-01,13:16:15.040,54.52139,0.965,-7.65826,1.511,0.0,0.43,108.2,31,1.2
1142,dias2014thky,2014-10-02,10:39:38.805,55.24442,4.865,-7.20236,1.633,0.0,0.457,212.6,13,0.58
1143,dias2014thnx,2014-10-02,12:09:24.112,54.82626,2.187,-5.91127,1.836,0.0,0.567,121.2,14,1.08
1148,dias2014tjim,2014-10-03,11:41:03.012,54.98859,2.596,-6.83305,1.204,0.0,0.274,135.6,24,0.97
1150,dias2014tjjw,2014-10-03,12:23:39.856,54.62766,2.179,-6.75415,2.895,0.0,0.447,201.8,18,0.96
1153,dias2014tove,2014-10-06,11:47:24.760,54.9145,2.067,-6.30967,1.562,0.0,0.409,100.5,17,0.82
1157,dias2014tozv,2014-10-06,14:08:27.067,54.13559,1.571,-9.72508,1.702,0.0,0.341,135.5,30,1.27
1159,dias2014tpcm,2014-10-06,15:28:56.713,53.41804,1.523,-8.14201,1.339,0.0,0.375,50.4,21,0.99
1161,dias2014tqts,2014-10-07,13:19:31.729,54.35418,1.499,-6.24056,1.592,0.0,0.82,89.4,27,0.7
1167,dias2014tujc,2014-10-09,12:29:16.875,54.5995,0.799,-8.07464,1.14,0.0,0.313,92.3,51,1.12
1170,dias2014tulm,2014-10-09,13:42:24.996,54.49857,2.487,-5.95171,1.79,0.0,0.264,99.9,17,0.87
1171,dias2014twem,2014-10-10,12:26:12.029,54.49438,1.687,-5.87776,1.542,0.0,0.352,119.2,24,0.84
1178,dias2014ubqy,2014-10-13,12:25:06.497,54.49752,1.419,-5.93602,1.316,0.0,0.484,95.4,28,0.93
1180,dias2014ubrh,2014-10-13,12:35:45.884,52.76394,1.631,-6.13159,1.512,0.0,0.365,149.0,30,1.43
1181,dias2014udln,2014-10-14,11:56:11.941,54.81251,2.234,-5.89339,2.148,0.0,0.658,149.8,10,0.83
1182,dias2014udqm,2014-10-14,14:26:52.243,54.60443,1.852,-5.77843,1.687,0.0,0.522,111.2,19,1.0
1184,dias2014uflo,2014-10-15,14:14:06.165,54.24977,1.138,-7.39744,2.176,0.0,0.258,128.8,25,1.24
1185,dias2014ufom,2014-10-15,15:42:37.313,52.65858,3.542,-6.30707,2.739,0.0,0.332,264.8,19,1.34
1187,dias2014ugzn,2014-10-16,10:25:05.467,53.26945,1.874,-6.49294,1.343,0.0,0.559,117.1,16,0.62
1188,dias2014uhca,2014-10-16,11:40:49.256,54.31186,1.184,-6.59452,1.414,0.0,0.426,71.9,29,1.1
1189,dias2014uhez,2014-10-16,13:10:40.066,54.61768,1.706,-5.78459,1.366,0.0,0.485,92.7,23,1.09
1192,dias2014uiyb,2014-10-17,11:57:54.597,54.56552,1.914,-5.79667,2.044,0.0,0.341,131.7,10,1.01
1193,dias2014uiyf,2014-10-17,12:01:40.155,53.86347,1.129,-8.82033,1.655,0.0,0.589,103.8,22,1.19
1196,dias2014uomc,2014-10-20,12:44:16.201,54.23136,1.39,-7.60686,1.608,0.0,0.441,94.6,20,0.94
1201,dias2014useg,2014-10-22,13:19:11.782,54.89422,1.947,-6.97318,1.587,0.0,0.314,108.3,15,0.63
1203,dias2014ushl,2014-10-22,14:55:04.763,51.8203,1.648,-8.63185,1.769,0.0,0.605,115.3,14,1.06
1207,dias2014utzb,2014-10-23,12:57:15.141,53.42691,1.579,-8.94533,2.095,0.0,0.555,105.7,13,1.2
1211,dias2014uucm,2014-10-23,14:41:27.016,54.61068,1.518,-7.00263,1.554,0.0,0.581,79.3,20,0.97
1216,dias2014uvux,2014-10-24,13:08:30.119,53.68269,1.378,-6.34195,1.934,0.0,0.365,116.1,18,1.14
1220,dias2014vcxt,2014-10-28,10:31:59.318,53.08683,1.859,-8.77776,1.831,0.0,0.33,132.3,18,1.19
1221,dias2014vczq,2014-10-28,11:28:13.494,53.17914,2.561,-6.53376,1.979,0.0,0.423,107.7,11,0.49
1222,dias2014vdbq,2014-10-28,12:29:10.329,53.18631,2.088,-6.54594,1.67,0.0,0.378,109.4,17,0.72
1223,dias2014vdbz,2014-10-28,12:39:22.132,54.80911,2.224,-5.88778,2.084,0.0,0.559,150.0,11,0.9
1225,dias2014vddr,2014-10-28,13:30:35.226,54.45882,1.262,-7.26928,1.538,0.0,0.446,81.3,24,0.8
1227,dias2014veww,2014-10-29,12:20:42.921,54.43747,2.004,-5.80448,1.474,0.0,0.47,114.2,15,0.74
1229,dias2014vezs,2014-10-29,13:47:21.195,54.13835,1.633,-9.70883,1.985,0.0,0.634,132.7,16,1.08
1233,dias2014vguf,2014-10-30,13:17:03.111,54.39781,2.171,-6.66885,1.829,0.0,0.205,142.8,13,0.8
1235,dias2014vipd,2014-10-31,12:58:45.521,54.35822,1.752,-6.22555,1.695,0.0,0.333,100.8,15,0.48
1239,dias2014voat,2014-11-03,12:31:47.664,54.40728,1.56,-6.05622,2.011,0.0,0.536,129.5,15,0.93
1241,dias2014vpwy,2014-11-04,12:53:26.407,54.49079,1.857,-5.93167,1.595,0.0,0.314,101.7,15,0.68
1243,dias2014vqaf,2014-11-04,14:32:42.296,53.87073,1.363,-9.3052,2.655,0.0,0.495,205.1,22,1.33
1258,dias2014vvfu,2014-11-07,11:01:46.259,55.09243,2.798,-6.70352,1.255,0.0,0.503,168.6,17,0.76
1264,dias2014wavf,2014-11-10,12:30:50.145,53.89251,1.108,-9.221,2.237,0.0,0.415,195.4,31,1.31
1272,dias2014wcts,2014-11-11,14:00:37.688,53.42101,1.005,-8.95739,1.669,0.0,0.44,92.8,35,1.3
1279,dias2014wepz,2014-11-12,14:24:29.101,54.52513,1.311,-7.64755,1.307,0.0,0.362,82.4,31,0.88
1287,dias2014wiau,2014-11-14,11:15:59.028,54.61283,2.044,-5.76589,1.657,0.0,0.433,93.7,10,0.63
1289,dias2014wihc,2014-11-14,14:27:53.987,53.37566,1.433,-9.19331,1.961,0.0,0.557,119.9,18,1.47
1306,dias2014wvcq,2014-11-21,14:58:31.517,51.81503,3.477,-9.93561,2.391,0.0,0.748,192.1,9,1.15
1309,dias2014xalg,2014-11-24,12:59:55.435,53.85124,1.056,-8.79172,1.549,0.0,0.565,97.7,27,1.48
1310,dias2014xamh,2014-11-24,13:32:10.200,54.49055,1.413,-5.85776,1.42,0.0,0.44,86.4,19,0.98
1312,dias2014xcdd,2014-11-25,11:10:14.520,54.4354,1.99,-5.80681,1.494,0.0,0.421,114.4,15,0.64
1313,dias2014xchv,2014-11-25,13:33:18.278,54.19342,1.79,-6.14196,1.406,0.0,0.547,95.3,22,1.1
1314,dias2014xcjy,2014-11-25,14:37:21.809,53.83523,0.773,-8.12263,1.109,0.0,0.518,62.2,54,1.55
1317,dias2014xebt,2014-11-26,12:45:02.749,54.39481,1.396,-6.63556,1.895,0.0,0.266,88.0,16,0.76
1319,dias2014xede,2014-11-26,13:28:45.841,54.17022,1.732,-9.85321,1.895,0.0,0.33,143.5,21,1.05
1321,dias2014xedr,2014-11-26,13:42:56.397,54.84453,1.697,-6.20546,1.665,0.0,0.259,108.0,30,1.19
1324,dias2014xfzi,2014-11-27,13:47:54.060,54.8046,1.831,-6.61164,1.35,0.0,0.495,105.5,16,1.02
1325,dias2014xgbb,2014-11-27,14:40:28.849,52.90631,1.192,-9.07004,1.6,0.0,0.405,123.4,26,1.51
1338,dias2014xpcu,2014-12-02,13:45:59.633,52.72601,1.588,-7.00366,1.575,0.0,0.446,72.2,16,0.9
1340,dias2014xpef,2014-12-02,14:28:57.337,53.87441,1.099,-9.31501,3.008,0.0,0.414,201.3,28,1.32
1343,dias2014xqtc,2014-12-03,11:08:21.033,53.18677,2.707,-6.55275,2.668,0.0,0.4,111.4,13,0.4
1346,dias2014xqxt,2014-12-03,13:30:22.938,54.40068,1.304,-6.06365,1.219,0.0,0.435,89.6,32,1.05
1353,dias2014xssm,2014-12-04,13:06:50.508,53.69524,0.854,-6.37503,1.731,0.0,0.459,162.9,41,1.42
1360,dias2014xupu,2014-12-05,14:00:57.036,53.42112,1.282,-8.95667,1.575,0.0,0.415,89.7,22,1.2
1364,dias2014yacl,2014-12-08,14:05:32.938,54.50195,1.832,-5.82934,4.08,0.0,0.263,210.2,10,0.95
1365,dias2014yahg,2014-12-08,16:31:29.741,52.88206,1.038,-8.66698,1.409,0.0,0.424,133.8,32,1.54
1368,dias2014ybvx,2014-12-09,13:03:49.217,54.95399,2.393,-6.57914,1.519,0.0,0.241,133.0,13,1.08
1369,dias2014ybwi,2014-12-09,13:16:48.407,52.61162,1.24,-7.82002,1.237,0.0,0.417,60.1,29,1.65
1370,dias2014ybwx,2014-12-09,13:34:37.390,54.4135,2.029,-5.89182,1.838,0.0,0.316,113.6,10,0.84
1375,dias2014ydto,2014-12-10,14:09:11.622,54.56359,1.956,-5.78424,1.613,0.0,0.532,98.7,11,1.13
1378,dias2014yfnm,2014-12-11,13:21:06.464,54.81018,2.227,-5.85733,2.801,0.0,0.624,132.1,7,0.67
1379,dias2014yfot,2014-12-11,13:59:08.220,54.35722,1.968,-6.19247,2.796,0.0,0.413,135.6,8,0.38
1382,dias2014yfry,2014-12-11,15:35:48.311,54.48354,1.595,-5.78284,1.639,0.0,0.464,87.9,17,1.31
1386,dias2014yhnh,2014-12-12,15:31:12.934,54.37678,1.65,-6.19206,1.658,0.0,0.56,97.4,13,0.77
1390,dias2014ymuu,2014-12-15,12:59:09.441,52.85052,1.029,-7.70871,1.082,0.0,0.484,67.2,37,1.44
1393,dias2014ymwq,2014-12-15,13:55:23.600,53.36813,1.898,-9.64045,2.799,0.0,0.542,193.9,17,1.34
1394,dias2014ymws,2014-12-15,13:58:31.289,52.75175,1.533,-6.13013,1.298,0.0,0.485,150.0,32,1.68
1395,dias2014yoph,2014-12-16,12:29:21.727,54.3913,1.738,-6.64225,1.707,0.0,0.409,87.4,14,0.66
1399,dias2014youk,2014-12-16,15:03:55.757,53.43753,1.182,-7.13625,1.406,0.0,0.517,74.2,22,0.84
1400,dias2014yqky,2014-12-17,12:33:37.545,54.18931,1.308,-7.71352,1.613,0.0,0.384,95.9,21,1.05
1401,dias2014yqlg,2014-12-17,12:43:34.385,54.30775,1.774,-6.61528,1.897,0.0,0.305,79.2,12,0.84
1402,dias2014yqnf,2014-12-17,13:42:33.755,53.97838,0.864,-8.25212,1.332,0.0,0.404,82.2,36,1.34
1409,dias2014yucm,2014-12-19,12:50:04.704,54.53238,1.589,-8.05661,1.761,0.0,0.35,107.3,18,1.09
